id,frame,x,y,action
0,0,0,0,0
1,1,0,0,0
2,2,0,0,0
3,3,0,0,0
4,4,0,0,0
5,5,0,0,0
6,6,0,0,0
7,7,0,0,0
8,8,0,0,0
9,9,0,0,0
10,10,0,0,0
11,11,0,0,0
12,12,0,0,0
13,13,0,0,0
14,14,0,0,0
15,15,0,0,0
16,16,0,0,0
17,17,0,0,0
18,18,0,0,0
19,19,0,0,0
20,20,0,0,0
21,21,0,0,0
22,22,0,0,0
23,23,0,0,0
24,24,0,0,0
25,25,0,0,0
26,26,0,0,0
27,27,0,0,0
28,28,0,0,0
29,29,0,0,0
30,30,0,0,0
31,31,0,0,0
32,32,0,0,0
33,33,563,248,0
34,34,539,260,0
35,35,482,288,0
36,36,443,311,0
37,37,387,349,0
38,38,336,389,0
39,39,292,429,0
40,40,254,466,0
41,41,234,488,0
42,42,223,498,0
43,43,221,500,0
44,44,217,503,0
45,45,216,503,0
46,46,215,503,0
47,47,213,503,0
48,48,208,504,0
49,49,196,506,0
50,50,180,509,0
51,51,158,510,0
52,52,132,512,0
53,53,117,513,0
54,54,102,513,0
55,55,92,513,0
56,56,83,513,0
57,57,79,513,0
58,58,74,512,0
59,59,69,512,0
60,60,64,512,0
61,61,61,512,0
62,62,60,511,0
63,63,59,511,0
64,64,59,511,0
65,65,59,511,0
66,66,59,511,0
67,67,59,511,0
68,68,59,511,0
69,69,59,511,0
70,70,59,511,0
71,71,59,511,0
72,72,59,511,0
73,73,59,511,0
74,74,59,511,0
75,75,59,511,0
76,76,59,511,0
77,77,59,511,0
78,78,59,511,0
79,79,59,511,0
80,80,59,511,0
81,81,59,511,0
82,82,59,511,0
83,83,59,511,0
84,84,59,511,0
85,85,59,511,0
86,86,59,511,0
87,87,59,511,0
88,88,59,511,0
89,89,59,511,0
90,90,59,511,0
91,91,59,511,0
92,92,59,511,0
93,93,59,511,0
94,94,59,511,0
95,95,59,511,0
96,96,59,511,0
97,97,59,511,0
98,98,59,511,0
99,99,59,511,0
100,100,59,511,0
101,101,59,511,0
102,102,59,511,0
103,103,59,511,0
104,104,59,511,0
105,105,59,511,0
106,106,59,511,0
107,107,59,511,0
108,108,59,511,0
109,109,59,511,0
110,110,59,511,0
111,111,59,511,0
112,112,59,511,0
113,113,59,511,0
114,114,59,511,0
115,115,59,511,0
116,116,59,511,0
117,117,59,511,0
118,118,59,511,0
119,119,59,511,0
120,120,59,511,0
121,121,59,511,0
122,122,59,511,0
123,123,59,511,0
124,124,59,511,0
125,125,59,511,0
126,126,59,511,0
127,127,59,511,0
128,128,59,511,0
129,129,59,511,0
130,130,59,511,0
131,131,59,511,0
132,132,59,511,0
133,133,59,511,0
134,134,59,511,0
135,135,59,511,0
136,136,59,511,0
137,137,59,511,1
138,138,59,511,1
139,139,59,511,1
140,140,59,511,1
141,141,59,511,1
142,142,59,511,1
143,143,59,511,1
144,144,59,511,1
145,145,59,511,0
146,146,59,511,0
147,147,59,511,0
148,148,59,511,0
149,149,59,511,0
150,150,59,511,0
151,151,59,511,0
152,152,59,511,0
153,153,59,511,0
154,154,59,511,0
155,155,59,511,0
156,156,59,511,0
157,157,59,511,0
158,158,59,511,0
159,159,59,511,0
160,160,59,511,0
161,161,59,511,0
162,162,59,511,0
163,163,59,511,0
164,164,59,511,0
165,165,59,511,0
166,166,59,511,0
167,167,59,511,0
168,168,59,511,0
169,169,59,511,0
170,170,59,511,0
171,171,59,511,0
172,172,59,511,0
173,173,59,511,0
174,174,59,511,0
175,175,59,511,0
176,176,59,511,0
177,177,59,511,0
178,178,59,511,0
179,179,59,511,0
180,180,59,511,0
181,181,59,511,0
182,182,59,511,0
183,183,59,511,0
184,184,60,510,0
185,185,64,506,0
186,186,69,501,0
187,187,77,495,0
188,188,83,489,0
189,189,90,483,0
190,190,97,477,0
191,191,104,472,0
192,192,112,466,0
193,193,119,460,0
194,194,127,454,0
195,195,135,448,0
196,196,145,442,0
197,197,161,431,0
198,198,172,424,0
199,199,177,421,0
200,200,188,414,0
201,201,205,405,0
202,202,219,399,0
203,203,231,393,0
204,204,244,387,0
205,205,256,381,0
206,206,267,375,0
207,207,278,370,0
208,208,286,365,0
209,209,299,359,0
210,210,308,354,0
211,211,318,349,0
212,212,330,345,0
213,213,351,334,0
214,214,366,325,0
215,215,383,316,0
216,216,403,306,0
217,217,422,297,0
218,218,440,289,0
219,219,456,282,0
220,220,472,277,0
221,221,486,271,0
222,222,502,265,0
223,223,518,259,0
224,224,533,254,0
225,225,546,249,0
226,226,557,246,0
227,227,569,243,0
228,228,581,239,0
229,229,591,236,0
230,230,600,234,0
231,231,610,232,0
232,232,618,230,0
233,233,625,229,0
234,234,632,228,0
235,235,640,226,0
236,236,648,225,0
237,237,655,223,0
238,238,660,222,0
239,239,665,222,0
240,240,670,221,0
241,241,676,221,0
242,242,681,220,0
243,243,686,219,0
244,244,687,219,0
245,245,688,219,0
246,246,688,219,0
247,247,688,219,0
248,248,688,219,0
249,249,688,219,0
250,250,688,219,0
251,251,688,219,0
252,252,688,219,0
253,253,688,219,0
254,254,688,219,0
255,255,688,219,0
256,256,688,219,0
257,257,688,219,0
258,258,688,219,0
259,259,688,219,0
260,260,688,219,0
261,261,688,219,0
262,262,688,219,0
263,263,688,219,0
264,264,688,219,0
265,265,688,219,0
266,266,688,219,0
267,267,688,219,0
268,268,688,219,0
269,269,688,219,1
270,270,688,219,1
271,271,688,219,1
272,272,688,219,1
273,273,688,219,1
274,274,688,219,1
275,275,688,219,1
276,276,688,219,1
277,277,688,219,1
278,278,688,219,1
